ZipCode,Population,LivingArea
02808,2432,rural
02809,22305,urban
02812,1043,rural
02813,8012,urban
02814,7638,urban
02815,155,rural
02816,32348,urban
02817,6500,urban
02818,19814,urban
02822,6155,urban
02823,25,rural
02824,140,rural
02825,5771,urban
02826,589,rural
02827,2357,rural
02828,7331,urban
02829,152,rural
02830,6377,urban
02831,4201,suburban
02832,4901,suburban
02833,782,rural
02835,5531,urban
02836,95,rural
02837,3600,suburban
02838,3645,suburban
02839,1313,rural
02840,23460,urban
02841,1862,rural
02842,16983,urban
02852,22979,urban
02857,7992,urban
02858,622,rural
02859,7401,urban
02860,48092,urban
02861,27128,urban
02863,22192,urban
02864,36053,urban
02865,18269,urban
02871,17674,urban
02872,128,rural
02873,72,rural
02874,6615,urban
02875,305,rural
02876,782,rural
02878,16287,urban
02879,22325,urban
02881,6844,urban
02882,13574,urban
02885,11166,urban
02886,29991,urban
02888,18398,urban
02889,28433,urban
02891,21998,urban
02892,6144,urban
02893,30823,urban
02894,555,rural
02895,43177,urban
02896,11499,urban
02898,1441,rural
02903,12450,urban
02904,31494,urban
02905,26569,urban
02906,26299,urban
02907,31705,urban
02908,38977,urban
02909,42021,urban
02910,22469,urban
02911,16151,urban
02912,4247,suburban
02914,21966,urban
02915,15912,urban
02916,9293,urban
02917,14595,urban
02918,2934,suburban
02919,29473,urban
02920,37389,urban
02921,12384,urban
03031,11744,urban
03032,5852,urban
03033,5591,urban
03034,4166,suburban
03036,5198,urban
03037,4664,suburban
03038,34371,urban
03042,7077,urban
03043,1542,rural
03044,4680,suburban
03045,13824,urban
03046,3006,suburban
03047,1789,rural
03048,3468,suburban
03049,8324,urban
03051,25314,urban
03052,8467,urban
03053,25534,urban
03054,26730,urban
03055,16041,urban
03057,2584,suburban
03060,31039,urban
03062,28562,urban
03063,16289,urban
03064,14769,urban
03070,6051,urban
03071,5217,urban
03076,14099,urban
03077,10670,urban
03079,30158,urban
03082,1628,rural
03084,1257,rural
03086,4096,suburban
03087,15587,urban
03101,3114,suburban
03102,33924,urban
03103,37602,urban
03104,34557,urban
03106,14732,urban
03109,10023,urban
03110,23157,urban
03215,198,rural
03216,2420,rural
03217,2365,rural
03218,1411,rural
03220,7424,urban
03221,2142,rural
03222,5992,urban
03223,3382,suburban
03224,2233,rural
03225,3491,suburban
03226,825,rural
03227,1364,rural
03229,5941,urban
03230,1366,rural
03231,138,rural
03233,235,rural
03234,4843,suburban
03235,8859,urban
03237,2100,rural
03238,84,rural
03240,1125,rural
03241,1010,rural
03242,5671,urban
03243,881,rural
03244,7632,urban
03245,2092,rural
03246,16847,urban
03249,7642,urban
03251,1401,rural
03253,6630,urban
03254,4876,suburban
03255,1902,rural
03256,2572,suburban
03257,4261,suburban
03258,2677,suburban
03259,250,rural
03260,1027,rural
03261,4601,suburban
03262,1177,rural
03263,4129,suburban
03264,6916,urban
03266,1963,rural
03268,1467,rural
03269,2935,suburban
03273,287,rural
03275,12002,urban
03276,8758,urban
03278,3004,suburban
03279,783,rural
03280,1157,rural
03281,9072,urban
03282,1099,rural
03284,863,rural
03285,2704,suburban
03287,1512,rural
03290,5090,urban
03291,111,rural
03293,215,rural
03301,33289,urban
03303,16240,urban
03304,8227,urban
03307,5634,urban
03431,25062,urban
03440,2943,suburban
03441,261,rural
03442,1508,rural
03443,276,rural
03444,1542,rural
03445,655,rural
03446,6415,urban
03447,2341,rural
03448,826,rural
03449,1737,rural
03450,1017,rural
03451,3970,suburban
03452,5345,urban
03455,2528,suburban
03456,791,rural
03457,784,rural
03458,6869,urban
03461,6383,urban
03462,1468,rural
03464,863,rural
03465,1768,rural
03466,1818,rural
03467,1944,rural
03470,5066,urban
03561,6015,urban
03570,9710,urban
03574,2534,suburban
03575,5,rural
03576,2752,suburban
03579,353,rural
03580,1308,rural
03581,3139,suburban
03582,2143,rural
03583,905,rural
03584,3417,suburban
03585,2599,suburban
03586,652,rural
03588,1538,rural
03590,1118,rural
03592,1064,rural
03593,386,rural
03595,706,rural
03597,628,rural
03598,3522,suburban
03601,502,rural
03602,2352,rural
03603,5194,urban
03604,0,rural
03605,792,rural
03607,323,rural
03608,3100,suburban
03609,555,rural
03740,1063,rural
03741,4157,suburban
03743,13612,urban
03745,1700,rural
03748,4550,suburban
03750,889,rural
03751,444,rural
03752,1010,rural
03753,3380,suburban
03755,10723,urban
03765,505,rural
03766,10055,urban
03768,1658,rural
03770,606,rural
03771,837,rural
03773,7624,urban
03774,1774,rural
03777,1449,rural
03779,714,rural
03780,544,rural
03781,2088,rural
03782,3065,suburban
03784,4261,suburban
03785,2240,rural
03801,22904,urban
03809,3818,suburban
03810,2008,rural
03811,7086,urban
03812,652,rural
03813,3273,suburban
03814,2349,rural
03816,1509,rural
03817,891,rural
03818,4098,suburban
03819,4224,suburban
03820,32676,urban
03823,2166,rural
03824,15410,urban
03825,9270,urban
03826,2904,suburban
03827,3216,suburban
03830,1329,rural
03832,346,rural
03833,22334,urban
03835,6771,urban
03836,1305,rural
03837,1829,rural
03838,1303,rural
03839,3818,suburban
03840,4006,suburban
03841,6255,urban
03842,15979,urban
03844,2305,rural
03845,1199,rural
03846,988,rural
03847,439,rural
03848,6177,urban
03849,1377,rural
03850,85,rural
03851,4121,suburban
03852,382,rural
03853,819,rural
03854,817,rural
03855,2698,suburban
03856,2022,rural
03857,9365,urban
03858,4801,suburban
03860,3817,suburban
03861,4524,suburban
03862,4507,suburban
03864,1998,rural
03865,7812,urban
03867,22240,urban
03868,6259,urban
03869,2421,rural
03870,5180,urban
03871,331,rural
03872,4109,suburban
03873,6498,urban
03874,8627,urban
03875,1137,rural
03878,12061,urban
03882,1721,rural
03883,548,rural
03884,4231,suburban
03885,7662,urban
03886,1256,rural
03887,1947,rural
03890,79,rural
03894,6414,urban
03897,33,rural
03901,7891,urban
03902,2262,rural
03903,6725,urban
03904,8108,urban
03905,1898,rural
03906,4950,suburban
03907,1207,rural
03908,7443,urban
03909,10982,urban
03910,43,rural
03911,294,rural
04001,2599,suburban
04002,7582,urban
04003,199,rural
04005,24462,urban
04006,54,rural
04008,3042,suburban
04009,5118,urban
04010,1658,rural
04011,21589,urban
04015,3643,suburban
04017,566,rural
04019,47,rural
04020,1758,rural
04021,6555,urban
04022,1135,rural
04024,544,rural
04027,6437,urban
04029,1930,rural
04030,2247,rural
04032,8622,urban
04037,3827,suburban
04038,18114,urban
04039,7773,urban
04040,2952,suburban
04041,1674,rural
04042,4707,suburban
04043,11466,urban
04046,7860,urban
04047,1686,rural
04048,3169,suburban
04049,3883,suburban
04050,271,rural
04051,1321,rural
04055,3911,suburban
04056,96,rural
04057,289,rural
04061,3120,suburban
04062,18438,urban
04063,621,rural
04064,8333,urban
04066,640,rural
04068,1469,rural
04069,1565,rural
04071,4990,suburban
04072,20203,urban
04073,17114,urban
04074,21639,urban
04076,2930,suburban
04079,4146,suburban
04083,4698,suburban
04084,7396,urban
04085,2787,suburban
04086,9431,urban
04087,2553,suburban
04088,1259,rural
04090,11156,urban
04091,769,rural
04092,20074,urban
04093,8332,urban
04095,1617,rural
04096,8903,urban
04097,4037,suburban
04101,17816,urban
04102,17174,urban
04103,32011,urban
04105,12221,urban
04106,26646,urban
04107,9448,urban
04108,885,rural
04109,130,rural
04110,1777,rural
04210,23790,urban
04216,657,rural
04217,3280,suburban
04219,1298,rural
04220,3486,suburban
04221,1059,rural
04222,4170,suburban
04224,2675,suburban
04226,80,rural
04227,32,rural
04231,257,rural
04234,0,rural
04236,4403,suburban
04237,219,rural
04238,1324,rural
04239,4661,suburban
04240,36615,urban
04250,4532,suburban
04252,5056,urban
04253,1873,rural
04254,3089,suburban
04255,618,rural
04256,3109,suburban
04257,2739,suburban
04258,2766,suburban
04259,3279,suburban
04260,5668,urban
04261,282,rural
04263,2427,rural
04265,790,rural
04267,27,rural
04268,5075,urban
04270,6248,urban
04271,0,rural
04274,5880,urban
04275,584,rural
04276,5846,urban
04280,6804,urban
04281,5180,urban
04282,5864,urban
04284,1006,rural
04285,393,rural
04286,0,rural
04287,3147,suburban
04289,2017,rural
04290,1590,rural
04292,1024,rural
04294,3954,suburban
04330,26271,urban
04341,30,rural
04342,1883,rural
04344,2987,suburban
04345,12163,urban
04346,1595,rural
04347,2542,suburban
04348,3417,suburban
04349,1274,rural
04350,3587,suburban
04351,2412,rural
04352,1613,rural
04353,2251,rural
04354,1408,rural
04355,2587,suburban
04357,3503,suburban
04358,4351,suburban
04359,282,rural
04360,602,rural
04363,2627,suburban
04364,6103,urban
04401,44184,urban
04406,722,rural
04408,181,rural
04410,1074,rural
04411,1657,rural
04412,9606,urban
04413,137,rural
04414,1456,rural
04415,302,rural
04416,5585,urban
04417,390,rural
04418,1745,rural
04419,2838,suburban
04421,1162,rural
04422,1176,rural
04424,872,rural
04426,4733,suburban
04427,2878,suburban
04428,3496,suburban
04429,4875,suburban
04430,1581,rural
04431,33,rural
04434,1124,rural
04435,1111,rural
04438,1244,rural
04441,1689,rural
04442,103,rural
04443,2080,rural
04444,9189,urban
04448,1418,rural
04449,1138,rural
04450,1441,rural
04451,211,rural
04453,733,rural
04454,26,rural
04455,755,rural
04456,2909,suburban
04457,5709,urban
04459,735,rural
04460,1340,rural
04461,3052,suburban
04462,4517,suburban
04463,2830,suburban
04464,501,rural
04468,9245,urban
04469,3078,suburban
04471,532,rural
04472,1935,rural
04473,8403,urban
04474,3775,suburban
04475,515,rural
04476,1144,rural
04478,367,rural
04479,1323,rural
04481,521,rural
04485,174,rural
04487,819,rural
04488,1271,rural
04489,296,rural
04490,244,rural
04491,162,rural
04492,88,rural
04493,1848,rural
04495,392,rural
04496,3845,suburban
04497,354,rural
04530,11344,urban
04535,743,rural
04537,1464,rural
04538,1772,rural
04539,1450,rural
04541,50,rural
04543,2221,rural
04544,936,rural
04547,1197,rural
04548,937,rural
04551,704,rural
04553,1804,rural
04554,634,rural
04555,1541,rural
04556,1252,rural
04558,190,rural
04562,2038,rural
04563,1395,rural
04564,495,rural
04568,486,rural
04570,0,rural
04571,621,rural
04572,5135,urban
04573,453,rural
04574,1653,rural
04575,301,rural
04576,512,rural
04578,4596,suburban
04579,3088,suburban
04605,14201,urban
04606,1204,rural
04607,1222,rural
04609,5098,urban
04611,467,rural
04612,545,rural
04613,105,rural
04614,2796,suburban
04616,753,rural
04617,741,rural
04619,3010,suburban
04622,867,rural
04623,1040,rural
04624,231,rural
04625,54,rural
04626,583,rural
04627,1861,rural
04628,557,rural
04630,1307,rural
04631,1226,rural
04634,2115,rural
04635,16,rural
04640,2472,rural
04642,138,rural
04643,861,rural
04645,30,rural
04646,66,rural
04648,682,rural
04649,1195,rural
04650,277,rural
04652,1421,rural
04653,662,rural
04654,3355,suburban
04655,1010,rural
04657,310,rural
04658,1323,rural
04660,1118,rural
04662,520,rural
04664,1431,rural
04666,1316,rural
04667,1406,rural
04668,1861,rural
04669,124,rural
04671,595,rural
04673,164,rural
04674,255,rural
04675,133,rural
04676,1186,rural
04677,271,rural
04679,1535,rural
04680,1297,rural
04681,887,rural
04683,0,rural
04684,1831,rural
04685,436,rural
04686,158,rural
04691,456,rural
04693,474,rural
04694,2256,rural
04730,10086,urban
04732,1534,rural
04733,291,rural
04734,913,rural
04735,473,rural
04736,9021,urban
04737,0,rural
04739,819,rural
04740,1454,rural
04742,3302,suburban
04743,4724,suburban
04745,789,rural
04746,419,rural
04747,1372,rural
04750,2110,rural
04756,3240,suburban
04757,2607,suburban
04758,1374,rural
04760,679,rural
04761,467,rural
04762,466,rural
04763,679,rural
04764,21,rural
04765,1047,rural
04766,366,rural
04768,364,rural
04769,8859,urban
04772,896,rural
04773,639,rural
04774,608,rural
04776,966,rural
04777,426,rural
04779,341,rural
04780,935,rural
04781,523,rural
04783,456,rural
04785,1936,rural
04786,1718,rural
04787,560,rural
04841,6977,urban
04843,5175,urban
04847,1730,rural
04848,600,rural
04849,3827,suburban
04851,69,rural
04852,124,rural
04853,476,rural
04854,1450,rural
04855,262,rural
04856,3615,suburban
04858,1347,rural
04859,781,rural
04860,1588,rural
04861,2753,suburban
04862,4218,suburban
04863,991,rural
04864,4812,suburban
04901,26467,urban
04910,2331,rural
04911,1783,rural
04912,778,rural
04915,8979,urban
04917,3218,suburban
04918,0,rural
04920,1630,rural
04921,1587,rural
04922,909,rural
04923,559,rural
04924,2374,rural
04925,31,rural
04926,43,rural
04927,3368,suburban
04928,1990,rural
04929,757,rural
04930,4186,suburban
04932,1210,rural
04936,179,rural
04937,6381,urban
04938,9728,urban
04939,809,rural
04940,0,rural
04941,1740,rural
04942,1052,rural
04943,1649,rural
04944,60,rural
04945,1188,rural
04947,1559,rural
04949,733,rural
04950,4711,suburban
04951,1090,rural
04952,1839,rural
04953,3129,suburban
04955,1393,rural
04956,745,rural
04957,4109,suburban
04958,1988,rural
04961,789,rural
04963,7274,urban
04964,140,rural
04965,2226,rural
04966,1629,rural
04967,3916,suburban
04969,1164,rural
04970,1510,rural
04971,1863,rural
04973,1350,rural
04974,2650,suburban
04975,49,rural
04976,10129,urban
04978,934,rural
04979,775,rural
04981,2590,suburban
04982,487,rural
04983,1454,rural
04984,782,rural
04985,104,rural
04986,2209,rural
04987,975,rural
04988,2089,rural
04989,4475,suburban
04992,191,rural
05001,9332,urban
05009,0,rural
05030,256,rural
05031,19,rural
05032,2655,suburban
05033,2978,suburban
05034,186,rural
05035,698,rural
05036,1058,rural
05037,986,rural
05038,1451,rural
05039,1019,rural
05040,687,rural
05041,216,rural
05042,586,rural
05043,1173,rural
05045,1646,rural
05046,1322,rural
05048,2885,suburban
05050,113,rural
05051,1217,rural
05052,184,rural
05053,322,rural
05055,3374,suburban
05056,330,rural
05058,172,rural
05059,544,rural
05060,4515,suburban
05061,1754,rural
05062,449,rural
05065,1198,rural
05067,155,rural
05068,3158,suburban
05069,651,rural
05070,442,rural
05071,123,rural
05072,574,rural
05073,0,rural
05075,1128,rural
05076,501,rural
05077,1208,rural
05079,839,rural
05081,610,rural
05083,220,rural
05084,88,rural
05086,567,rural
05088,1038,rural
05089,4245,suburban
05091,3720,suburban
05101,4206,suburban
05141,164,rural
05142,789,rural
05143,4689,suburban
05146,543,rural
05148,1393,rural
05149,2223,rural
05150,416,rural
05151,1717,rural
05152,457,rural
05153,783,rural
05154,533,rural
05155,705,rural
05156,9251,urban
05158,1112,rural
05161,796,rural
05201,14831,urban
05250,3462,suburban
05251,1572,rural
05252,579,rural
05253,509,rural
05254,420,rural
05255,4085,suburban
05257,3225,suburban
05260,400,rural
05261,2294,rural
05262,2196,rural
05301,16560,urban
05340,648,rural
05341,601,rural
05342,609,rural
05343,926,rural
05344,460,rural
05345,1846,rural
05346,5283,urban
05350,755,rural
05351,266,rural
05352,882,rural
05353,1471,rural
05354,2587,suburban
05355,787,rural
05356,529,rural
05358,396,rural
05359,622,rural
05360,379,rural
05361,1114,rural
05362,263,rural
05363,1994,rural
05401,32724,urban
05403,19877,urban
05404,8224,urban
05405,2015,rural
05408,10097,urban
05439,1347,rural
05440,1783,rural
05441,576,rural
05442,400,rural
05443,6410,urban
05444,1518,rural
05445,3900,suburban
05446,16001,urban
05447,103,rural
05448,795,rural
05450,5221,urban
05452,22154,urban
05454,5343,urban
05455,1371,rural
05456,954,rural
05457,1508,rural
05458,2268,rural
05459,1544,rural
05461,4813,suburban
05462,1634,rural
05463,541,rural
05464,3173,suburban
05465,5540,urban
05468,13055,urban
05471,741,rural
05472,2025,rural
05473,1398,rural
05474,1211,rural
05476,3248,suburban
05477,4374,suburban
05478,16003,urban
05481,0,rural
05482,7714,urban
05483,1357,rural
05485,0,rural
05486,1593,rural
05487,1697,rural
05488,8269,urban
05489,3561,suburban
05491,6049,urban
05492,856,rural
